Team,Over Record,Over %,Under %,Total +/-
Okla City,2-0-0,100.0%,0.0%,+27.5
Golden State,2-0-0,100.0%,0.0%,+14.0
Indiana,6-0-0,100.0%,0.0%,+16.4
Atlanta,6-1-0,85.7%,14.3%,+7.7
Washington,6-2-0,75.0%,25.0%,+5.3
LA Lakers,3-1-0,75.0%,25.0%,+12.9
Chicago,5-2-0,71.4%,28.6%,+12.9
Denver,2-1-0,66.7%,33.3%,+11.3
Minnesota,4-2-0,66.7%,33.3%,+5.7
Memphis,3-2-0,60.0%,40.0%,+3.7
Sacramento,3-2-0,60.0%,40.0%,+4.1
LA Clippers,3-2-1,60.0%,40.0%,+1.8
Philadelphia,5-4-0,55.6%,44.4%,-0.8
New Orleans,4-4-1,50.0%,50.0%,-3.6
Miami,3-3-0,50.0%,50.0%,+0.8
Toronto,5-5-0,50.0%,50.0%,+1.5
New York,3-3-0,50.0%,50.0%,+4.3
Orlando,3-3-0,50.0%,50.0%,-6.7
Portland,3-4-1,42.9%,57.1%,-3.4
Brooklyn,3-4-0,42.9%,57.1%,-0.6
Detroit,3-5-0,37.5%,62.5%,-4.4
Dallas,2-4-0,33.3%,66.7%,-9.5
Phoenix,1-2-0,33.3%,66.7%,-18.8
Boston,1-2-0,33.3%,66.7%,+8.0
San Antonio,2-4-0,33.3%,66.7%,-8.4
Utah,2-6-0,25.0%,75.0%,-6.7
Houston,1-3-0,25.0%,75.0%,-8.4
Charlotte,1-5-0,16.7%,83.3%,-1.5
Milwaukee,1-7-0,12.5%,87.5%,-10.8
