Team,Over Record,Over %,Under %,Total +/-
Akron,1-0-0,100.0%,0.0%,+18.5
Wash State,1-0-0,100.0%,0.0%,+0.5
American,1-0-0,100.0%,0.0%,+7.5
Cal Poly,1-0-0,100.0%,0.0%,+4.5
TX Southern,1-0-0,100.0%,0.0%,+8.0
Texas Tech,1-0-0,100.0%,0.0%,+2.5
Geo Mason,1-0-0,100.0%,0.0%,+8.0
SC Upstate,1-0-0,100.0%,0.0%,+17.0
Princeton,1-0-0,100.0%,0.0%,+8.0
Bradley,1-0-0,100.0%,0.0%,+1.5
Utah St,1-0-0,100.0%,0.0%,+31.0
Richmond,1-0-0,100.0%,0.0%,+9.5
Butler,1-0-0,100.0%,0.0%,+1.0
Bucknell,1-0-0,100.0%,0.0%,+17.5
TX-Pan Am,1-0-0,100.0%,0.0%,+29.0
Kennesaw St,1-0-0,100.0%,0.0%,+14.5
Quinnipiac,1-0-0,100.0%,0.0%,+12.0
Ohio,1-0-0,100.0%,0.0%,+13.0
Norfolk St,2-0-0,100.0%,0.0%,+4.0
Villanova,1-0-0,100.0%,0.0%,+6.0
Old Dominion,1-0-0,100.0%,0.0%,+19.0
Northwestern,1-0-0,100.0%,0.0%,+15.0
Texas A&M,1-0-0,100.0%,0.0%,+23.0
Furman,1-0-0,100.0%,0.0%,+4.5
Chicago St,1-0-0,100.0%,0.0%,+15.5
E Washingtn,1-0-0,100.0%,0.0%,+33.0
TN Tech,1-0-0,100.0%,0.0%,+6.0
La Salle,1-0-0,100.0%,0.0%,+13.0
Wisconsin,2-0-0,100.0%,0.0%,+3.5
W Illinois,1-0-0,100.0%,0.0%,+5.0
S Methodist,1-0-0,100.0%,0.0%,+1.0
St Peters,1-0-0,100.0%,0.0%,+6.5
Buffalo,1-0-0,100.0%,0.0%,+15.5
N Florida,1-0-0,100.0%,0.0%,+43.5
Auburn,1-0-0,100.0%,0.0%,+1.5
Incar Word,1-0-0,100.0%,0.0%,+11.0
Montana St,1-0-0,100.0%,0.0%,+6.5
Geo Wshgtn,1-0-0,100.0%,0.0%,+8.5
TN State,1-0-0,100.0%,0.0%,+2.0
BYU,1-0-0,100.0%,0.0%,+12.5
Boise St,1-0-0,100.0%,0.0%,+12.0
Idaho St,1-0-0,100.0%,0.0%,+7.5
Missouri,1-0-0,100.0%,0.0%,+9.5
UC Davis,1-0-0,100.0%,0.0%,+10.5
Arizona St,2-0-0,100.0%,0.0%,+8.0
Lehigh,1-0-0,100.0%,0.0%,+13.5
Central Ark,1-0-0,100.0%,0.0%,+11.5
Queens,1-0-0,100.0%,0.0%,+1.0
St Fran (PA),1-1-0,50.0%,50.0%,-6.8
Rider,1-1-0,50.0%,50.0%,+8.5
UL Monroe,1-1-0,50.0%,50.0%,-0.8
Coppin St,1-1-0,50.0%,50.0%,-7.3
Ark Pine Bl,1-1-0,50.0%,50.0%,+4.0
Stonehill,1-1-0,50.0%,50.0%,-3.0
Sacred Hrt,1-1-0,50.0%,50.0%,+7.0
San Diego,1-1-0,50.0%,50.0%,-3.3
Beth-Cook,1-1-0,50.0%,50.0%,-13.3
Lipscomb,1-2-0,33.3%,66.7%,-9.2
Cal Baptist,0-1-0,0.0%,100.0%,-7.5
Iona,0-1-0,0.0%,100.0%,-32.5
Marquette,0-1-0,0.0%,100.0%,-17.5
Youngs St,0-1-0,0.0%,100.0%,-21.5
SE Louisiana,0-1-0,0.0%,100.0%,-11.0
Lafayette,0-1-0,0.0%,100.0%,-13.5
Presbyterian,0-1-0,0.0%,100.0%,-2.0
Drexel,0-1-0,0.0%,100.0%,-13.5
Kansas,0-1-0,0.0%,100.0%,-4.5
Alcorn St,0-2-0,0.0%,100.0%,-12.5
Seattle,0-1-0,0.0%,100.0%,-9.5
South Dakota,0-1-0,0.0%,100.0%,-1.5
Maryland,0-1-0,0.0%,100.0%,-3.5
