Team,ATS Record,Cover %,MOV,ATS +/-
UC Davis,1-0-0,100.0%,4.0,+2.0
Elon,1-0-0,100.0%,7.0,+22.5
W Michigan,1-0-0,100.0%,23.0,+17.0
Idaho St,3-0-0,100.0%,-7.0,+9.8
AR Lit Rock,1-0-0,100.0%,-12.0,+9.0
Marshall,1-0-0,100.0%,14.0,+4.5
UC Riverside,1-0-1,100.0%,22.5,+3.8
Texas St,1-0-0,100.0%,9.0,+12.0
Lehigh,1-0-0,100.0%,-8.0,+6.5
Nevada,1-0-0,100.0%,12.0,+6.5
Wm & Mary,1-0-0,100.0%,-3.0,+1.0
North Dakota,1-0-0,100.0%,6.0,+11.5
NJIT,1-0-0,100.0%,-20.0,+1.0
Ark Pine Bl,1-0-0,100.0%,4.0,+7.0
Norfolk St,1-0-0,100.0%,13.0,+0.5
UCLA,1-0-0,100.0%,33.0,+6.5
N Arizona,1-0-0,100.0%,3.0,+8.5
Seton Hall,1-0-0,100.0%,2.0,+4.5
S Dakota St,1-0-0,100.0%,25.0,+18.5
N Colorado,2-0-0,100.0%,10.0,+14.0
UC Irvine,1-0-0,100.0%,20.0,+23.5
Wisconsin,1-0-0,100.0%,6.0,+8.5
Rob Morris,1-0-0,100.0%,11.0,+1.5
Rider,1-0-0,100.0%,1.0,+4.0
Central Mich,1-0-0,100.0%,1.0,+15.5
Bryant,1-0-0,100.0%,12.0,+3.5
E Tenn St,1-0-0,100.0%,15.0,+6.5
Geo Wshgtn,1-0-0,100.0%,8.0,+5.5
Niagara,1-0-0,100.0%,-3.0,+10.5
Illinois,1-0-0,100.0%,58.0,+34.5
Missouri,1-0-0,100.0%,49.0,+14.0
Hawaii,1-0-0,100.0%,11.0,+6.5
GA Tech,1-0-0,100.0%,19.0,+2.5
Cal St Nrdge,1-0-0,100.0%,22.0,+19.5
Howard,1-0-0,100.0%,4.0,+1.5
Neb Omaha,2-0-0,100.0%,-5.0,+9.3
San Diego,2-0-0,100.0%,10.5,+7.3
Presbyterian,1-0-0,100.0%,33.0,+13.0
Winthrop,1-0-0,100.0%,-6.0,+3.0
SE Louisiana,1-0-0,100.0%,-21.0,+4.5
TX A&M-CC,2-0-0,100.0%,10.0,+6.5
Morehead St,1-0-0,100.0%,7.0,+1.0
TX-Pan Am,2-0-0,100.0%,-8.0,+17.0
UAB,1-0-0,100.0%,12.0,+1.0
St Fran (PA),2-0-0,100.0%,-14.5,+5.0
Prairie View,1-0-0,100.0%,-11.0,+3.0
Florida St,2-0-0,100.0%,33.5,+20.5
Seattle,1-0-0,100.0%,13.0,+20.0
Grambling St,1-0-0,100.0%,-3.0,+3.0
NW State,1-0-0,100.0%,13.0,+20.0
VCU,1-0-0,100.0%,7.0,+3.5
Drake,1-0-0,100.0%,11.0,+15.5
Samford,2-0-0,100.0%,3.5,+6.0
McNeese St,1-0-0,100.0%,15.0,+7.0
S Indiana,1-0-0,100.0%,2.0,+6.5
SC Upstate,2-0-0,100.0%,3.3,+5.0
Bradley,1-0-0,100.0%,11.0,+5.5
N Florida,1-0-0,100.0%,-13.0,+2.0
Tarleton St,1-0-0,100.0%,31.0,+12.5
Kent St,1-0-0,100.0%,16.0,+13.5
Troy,1-0-0,100.0%,19.0,+4.5
Evansville,1-0-0,100.0%,13.0,+9.0
N Dakota St,1-0-0,100.0%,8.0,+23.5
Wright St,1-0-0,100.0%,14.0,+2.0
Columbia,2-0-0,100.0%,18.0,+18.0
Gonzaga,1-0-0,100.0%,43.0,+9.0
Liberty,1-0-0,100.0%,2.0,+5.5
LSU,1-0-0,100.0%,7.0,+6.0
Mercyhurst,1-0-0,100.0%,5.0,+12.5
Arizona St,1-0-0,100.0%,-8.0,+13.5
Mass Lowell,1-0-1,100.0%,1.0,+3.3
W Georgia,1-0-0,100.0%,-23.0,+0.5
Lindenwood,1-0-0,100.0%,1.0,+3.5
Princeton,2-1-0,66.7%,13.7,+5.5
Montana St,2-1-0,66.7%,15.3,+7.2
Maryland ES,1-1-0,50.0%,-24.3,-16.3
Bucknell,1-1-0,50.0%,-16.0,-4.0
Coppin St,1-1-0,50.0%,-29.5,-4.5
Campbell,1-1-0,50.0%,-11.0,-1.0
SIU Edward,1-1-0,50.0%,-25.5,+1.5
Lipscomb,1-1-0,50.0%,-22.5,-3.8
E Washingtn,1-1-0,50.0%,-2.0,+5.5
Maryland BC,1-1-0,50.0%,5.0,+7.0
LIU,1-1-0,50.0%,-6.5,+5.8
Villanova,1-1-0,50.0%,13.5,-6.3
IU Indy,1-1-0,50.0%,1.0,+2.0
St. Thomas,1-1-0,50.0%,-12.0,+0.5
South Dakota,1-2-0,33.3%,0.8,-4.5
Morgan St,1-2-0,33.3%,-6.0,-4.2
UL Monroe,1-2-0,33.3%,3.7,+9.0
TX A&M-Com,1-2-0,33.3%,-22.7,-0.5
Fla Atlantic,0-1-0,0.0%,-2.0,-4.5
Grd Canyon,0-1-0,0.0%,18.0,-0.5
Binghamton,0-1-0,0.0%,-15.0,-1.0
Canisius,0-1-0,0.0%,-71.0,-40.0
Oklahoma St,0-1-0,0.0%,-12.0,-6.5
Murray St,0-1-0,0.0%,-2.0,-9.0
N Hampshire,0-1-0,0.0%,2.0,-9.0
Army,0-1-0,0.0%,-1.0,-2.0
Kansas St,0-1-0,0.0%,-2.0,-5.5
Vermont,0-1-0,0.0%,-51.0,-33.5
TX-Arlington,0-0-0,0.0%,26.0,--
App State,0-0-0,0.0%,54.0,--
Miami,0-1-0,0.0%,-7.0,-3.5
Youngs St,0-1-0,0.0%,-34.0,-15.0
E Illinois,0-0-0,0.0%,36.0,--
Oakland,0-1-0,0.0%,-44.0,-27.0
VMI,0-1-0,0.0%,-45.0,-9.5
Rutgers,0-0-1,0.0%,1.0,0.0
Pepperdine,0-0-1,0.0%,-18.0,0.0
S Alabama,0-0-0,0.0%,34.0,--
F Dickinson,0-0-0,0.0%,49.0,--
Manhattan,0-1-0,0.0%,-3.0,-4.0
S Car State,0-1-0,0.0%,-13.0,-9.0
Miss Val St,0-1-0,0.0%,-46.0,-2.5
E Michigan,0-1-0,0.0%,-8.0,-1.0
Pacific,0-0-0,0.0%,53.0,--
Harvard,0-1-0,0.0%,-12.0,-13.5
Ste F Austin,0-0-0,0.0%,19.0,--
Navy,0-1-0,0.0%,-11.0,-8.5
Cal Poly,0-1-0,0.0%,-18.0,-3.5
TX Southern,0-1-0,0.0%,7.5,-2.5
New Orleans,0-1-0,0.0%,-11.0,-1.5
Portland,0-1-0,0.0%,-27.0,-15.5
Mercer,0-0-0,0.0%,58.0,--
Ohio,0-1-0,0.0%,-9.0,-12.0
Denver,0-0-0,0.0%,23.0,--
Col Charlestn,0-1-0,0.0%,-21.0,-26.5
Radford,0-0-0,0.0%,46.0,--
Montana,0-0-0,0.0%,50.0,--
Longwood,0-1-0,0.0%,-15.0,-7.0
Stonehill,0-2-0,0.0%,-15.0,-3.0
S Florida,0-1-0,0.0%,1.0,-2.0
Georgia,0-1-0,0.0%,13.0,-2.0
Alab A&M,0-1-0,0.0%,14.5,-10.5
St Johns,0-1-0,0.0%,-3.0,-9.0
Maine,0-0-0,0.0%,51.0,--
Jackson St,0-2-0,0.0%,-36.5,-11.3
Kansas City,0-0-0,0.0%,100.0,--
Lg Beach St,0-1-0,0.0%,-23.0,-15.5
Central Ark,0-1-0,0.0%,-35.0,-5.5
Sacred Hrt,0-1-0,0.0%,-36.0,-0.5
Quinnipiac,0-2-0,0.0%,-18.5,-3.3
Oral Roberts,0-1-0,0.0%,12.0,-10.5
American,0-1-0,0.0%,-8.0,-10.0
Alcorn St,0-2-1,0.0%,-35.0,-12.8
North Texas,0-0-0,0.0%,42.0,--
