Team,Over Record,Over %,Under %,Total +/-
Portland St,2-0-0,100.0%,0.0%,+21.3
Mercer,1-0-0,100.0%,0.0%,+1.5
Rob Morris,2-0-0,100.0%,0.0%,+6.3
Northwestern,1-0-0,100.0%,0.0%,+0.5
Elon,1-0-0,100.0%,0.0%,+12.5
Bradley,1-0-0,100.0%,0.0%,+10.0
GA Southern,1-0-0,100.0%,0.0%,+23.5
App State,1-0-0,100.0%,0.0%,+5.5
Niagara,2-0-0,100.0%,0.0%,+13.8
N Carolina,1-0-0,100.0%,0.0%,+20.5
NJIT,1-0-0,100.0%,0.0%,+6.0
Lafayette,2-0-0,100.0%,0.0%,+9.8
Arizona St,1-0-0,100.0%,0.0%,+11.5
Charlotte,1-0-0,100.0%,0.0%,+31.0
LA Tech,1-0-0,100.0%,0.0%,+20.0
Akron,2-0-0,100.0%,0.0%,+12.5
Jksnville St,1-0-0,100.0%,0.0%,+7.0
Pepperdine,1-0-0,100.0%,0.0%,+25.5
Idaho,1-0-0,100.0%,0.0%,+0.5
Wichita St,1-0-0,100.0%,0.0%,+22.5
Norfolk St,1-0-0,100.0%,0.0%,+1.0
Marist,2-0-0,100.0%,0.0%,+11.0
Brown,1-0-0,100.0%,0.0%,+2.5
Radford,1-0-0,100.0%,0.0%,+12.5
Yale,2-0-0,100.0%,0.0%,+31.5
N Dakota St,2-0-0,100.0%,0.0%,+21.3
Villanova,1-0-0,100.0%,0.0%,+18.0
Army,1-0-0,100.0%,0.0%,+14.0
IU Indy,1-0-0,100.0%,0.0%,+15.5
Northeastrn,1-0-0,100.0%,0.0%,+14.5
Illinois St,1-0-0,100.0%,0.0%,+6.0
Fla Atlantic,1-0-0,100.0%,0.0%,+39.0
Texas St,1-0-0,100.0%,0.0%,+7.0
New Orleans,1-0-0,100.0%,0.0%,+5.0
Quinnipiac,2-0-0,100.0%,0.0%,+9.3
TX-Arlington,1-0-0,100.0%,0.0%,+39.0
TX El Paso,1-0-0,100.0%,0.0%,+5.5
Buffalo,2-0-0,100.0%,0.0%,+17.0
Wm & Mary,1-0-0,100.0%,0.0%,+18.0
WI-Grn Bay,2-0-0,100.0%,0.0%,+13.5
Montana St,2-0-0,100.0%,0.0%,+4.0
TN Tech,1-0-0,100.0%,0.0%,+20.0
TX-Pan Am,2-0-0,100.0%,0.0%,+17.3
James Mad,1-0-0,100.0%,0.0%,+7.0
Miami (OH),1-0-0,100.0%,0.0%,+1.5
Siena,1-0-0,100.0%,0.0%,+29.5
Missouri,1-0-0,100.0%,0.0%,+3.5
SC Upstate,3-0-0,100.0%,0.0%,+14.8
Cornell,1-0-0,100.0%,0.0%,+13.0
Holy Cross,2-0-0,100.0%,0.0%,+11.5
Iona,2-0-0,100.0%,0.0%,+17.0
Toledo,2-0-0,100.0%,0.0%,+6.5
CS Bakersfld,1-0-0,100.0%,0.0%,+21.5
Chicago St,2-0-0,100.0%,0.0%,+14.5
Sam Hous St,3-0-0,100.0%,0.0%,+17.2
St Bonavent,2-0-0,100.0%,0.0%,+14.0
Detroit,1-0-0,100.0%,0.0%,+11.5
Davidson,1-0-0,100.0%,0.0%,+29.5
SE Missouri,2-0-0,100.0%,0.0%,+6.3
Incar Word,1-0-0,100.0%,0.0%,+17.0
IL-Chicago,1-0-0,100.0%,0.0%,+15.0
Princeton,1-0-0,100.0%,0.0%,+8.0
UTSA,1-0-0,100.0%,0.0%,+1.5
UC Davis,2-0-0,100.0%,0.0%,+7.3
Boise St,1-0-0,100.0%,0.0%,+12.0
Lindenwood,1-0-0,100.0%,0.0%,+13.5
Baylor,1-0-0,100.0%,0.0%,+6.5
N Colorado,1-0-0,100.0%,0.0%,+26.0
Mt St Marys,2-0-0,100.0%,0.0%,+18.8
Fresno St,1-0-0,100.0%,0.0%,+26.5
Stony Brook,3-0-0,100.0%,0.0%,+10.5
TN State,2-0-0,100.0%,0.0%,+10.8
S Florida,1-0-0,100.0%,0.0%,+1.5
Maryland ES,3-0-0,100.0%,0.0%,+21.8
N Florida,3-0-0,100.0%,0.0%,+19.0
Lamar,1-0-0,100.0%,0.0%,+23.0
Ohio,2-0-0,100.0%,0.0%,+15.0
Charl South,2-0-0,100.0%,0.0%,+9.8
Kennesaw St,1-0-0,100.0%,0.0%,+14.5
NC-Grnsboro,1-0-0,100.0%,0.0%,+1.0
Columbia,2-0-0,100.0%,0.0%,+18.8
San Jose St,1-0-0,100.0%,0.0%,+16.0
Samford,1-0-0,100.0%,0.0%,+6.5
Cal Poly,2-0-0,100.0%,0.0%,+7.5
S Mississippi,1-0-0,100.0%,0.0%,+28.5
Utah Valley,1-0-0,100.0%,0.0%,+3.0
S Illinois,1-0-0,100.0%,0.0%,+1.5
TX A&M-CC,2-0-0,100.0%,0.0%,+17.8
Bellarmine,1-0-0,100.0%,0.0%,+7.5
Belmont,1-0-0,100.0%,0.0%,+4.0
St Fran (PA),3-1-0,75.0%,25.0%,-0.8
Wright St,2-1-0,66.7%,33.3%,-0.5
Ark Pine Bl,2-1-0,66.7%,33.3%,+6.7
Gard-Webb,2-1-0,66.7%,33.3%,+9.3
Beth-Cook,2-1-0,66.7%,33.3%,-6.3
St Peters,2-1-0,66.7%,33.3%,+2.8
Southern,2-1-0,66.7%,33.3%,+7.5
Bucknell,2-1-0,66.7%,33.3%,+10.7
S Indiana,2-1-0,66.7%,33.3%,-0.7
Neb Omaha,2-1-0,66.7%,33.3%,-1.3
Florida A&M,2-1-0,66.7%,33.3%,+13.2
UC Riverside,2-1-0,66.7%,33.3%,+8.8
W Georgia,2-1-0,66.7%,33.3%,+5.0
Sacred Hrt,2-1-0,66.7%,33.3%,+6.7
TX A&M-Com,2-1-0,66.7%,33.3%,+7.8
Central Mich,2-1-0,66.7%,33.3%,-3.7
E Washingtn,1-1-0,50.0%,50.0%,-5.8
Old Dominion,1-1-0,50.0%,50.0%,+1.0
E Michigan,1-1-0,50.0%,50.0%,-10.0
Georgia St,1-1-0,50.0%,50.0%,+8.0
Le Moyne,1-1-0,50.0%,50.0%,+2.5
Coppin St,2-2-0,50.0%,50.0%,-8.5
Weber St,1-1-0,50.0%,50.0%,-4.3
Albany,1-1-0,50.0%,50.0%,-3.8
Fla Gulf Cst,1-1-0,50.0%,50.0%,-14.3
Idaho St,1-1-0,50.0%,50.0%,-17.0
Central Ark,1-1-0,50.0%,50.0%,-3.0
Towson,1-1-0,50.0%,50.0%,+8.3
American,1-1-0,50.0%,50.0%,-6.3
Ball St,1-1-0,50.0%,50.0%,-4.3
Evansville,1-1-0,50.0%,50.0%,+3.5
Jacksonville,1-1-0,50.0%,50.0%,-4.0
Tarleton St,1-1-0,50.0%,50.0%,-3.0
Mercyhurst,1-1-0,50.0%,50.0%,-3.0
Presbyterian,1-1-0,50.0%,50.0%,+14.8
TN Martin,1-1-0,50.0%,50.0%,-1.8
NW State,1-1-0,50.0%,50.0%,-7.3
W Michigan,1-1-0,50.0%,50.0%,-12.0
Nicholls,1-1-0,50.0%,50.0%,+0.8
CS Fullerton,1-1-1,50.0%,50.0%,+5.8
S Car State,1-1-0,50.0%,50.0%,-5.5
NC A&T,1-1-0,50.0%,50.0%,-0.8
LIU,1-1-0,50.0%,50.0%,-12.8
Maine,1-1-0,50.0%,50.0%,+7.0
N Arizona,1-1-0,50.0%,50.0%,-13.5
Cal St Nrdge,1-1-0,50.0%,50.0%,+0.5
Prairie View,1-1-0,50.0%,50.0%,+4.8
Lg Beach St,1-1-0,50.0%,50.0%,+3.3
E Kentucky,1-1-0,50.0%,50.0%,-3.0
Canisius,1-1-0,50.0%,50.0%,-12.8
Coastal Car,1-1-0,50.0%,50.0%,0.0
Fordham,1-1-0,50.0%,50.0%,-8.8
Montana,1-1-0,50.0%,50.0%,-8.8
W Illinois,1-1-0,50.0%,50.0%,-8.0
Alabama St,1-1-0,50.0%,50.0%,+9.0
Miss Val St,1-1-0,50.0%,50.0%,+2.3
E Illinois,1-1-0,50.0%,50.0%,+14.8
Queens,1-1-0,50.0%,50.0%,-1.8
Seattle,1-1-0,50.0%,50.0%,+13.3
Oral Roberts,1-1-0,50.0%,50.0%,0.0
N Hampshire,1-1-0,50.0%,50.0%,+10.3
Delaware St,1-1-0,50.0%,50.0%,-3.8
Lipscomb,1-1-0,50.0%,50.0%,-11.8
St. Thomas,1-1-0,50.0%,50.0%,+7.3
Chattanooga,1-2-0,33.3%,66.7%,-8.0
TX Southern,1-2-0,33.3%,66.7%,-2.7
Lehigh,1-2-0,33.3%,66.7%,+1.3
Binghamton,1-2-0,33.3%,66.7%,+7.3
F Dickinson,1-2-0,33.3%,66.7%,+4.2
Cleveland St,1-2-0,33.3%,66.7%,-2.2
UL Monroe,1-2-0,33.3%,66.7%,-10.2
Alcorn St,1-2-0,33.3%,66.7%,-4.2
Fairfield,1-2-0,33.3%,66.7%,-19.8
Harvard,1-2-0,33.3%,66.7%,+0.2
Jackson St,1-2-0,33.3%,66.7%,-2.8
Stonehill,1-2-0,33.3%,66.7%,-11.8
Rider,1-3-0,25.0%,75.0%,-1.9
Stetson,0-1-0,0.0%,100.0%,-19.5
Delaware,0-1-0,0.0%,100.0%,-32.5
McNeese St,0-1-0,0.0%,100.0%,-32.0
Wofford,0-2-0,0.0%,100.0%,-7.0
UC Irvine,0-2-0,0.0%,100.0%,-17.0
W Kentucky,0-1-0,0.0%,100.0%,-14.5
S Alabama,0-2-0,0.0%,100.0%,-22.8
N Iowa,0-1-0,0.0%,100.0%,-0.5
W Carolina,0-1-0,0.0%,100.0%,-38.5
NC-Asheville,0-0-2,0.0%,0.0%,0.0
Austin Peay,0-1-0,0.0%,100.0%,-13.5
U Penn,0-2-0,0.0%,100.0%,-21.3
UCSD,0-1-0,0.0%,100.0%,-20.0
Navy,0-1-0,0.0%,100.0%,-8.0
SE Louisiana,0-1-1,0.0%,100.0%,-5.5
WI-Milwkee,0-2-0,0.0%,100.0%,-9.0
Sac State,0-2-0,0.0%,100.0%,-30.0
N Kentucky,0-2-0,0.0%,100.0%,-17.5
VMI,0-1-0,0.0%,100.0%,-2.0
Geo Mason,0-1-0,0.0%,100.0%,-4.5
Kansas City,0-1-0,0.0%,100.0%,-4.5
Grambling St,0-2-0,0.0%,100.0%,-8.0
Tennessee,0-1-0,0.0%,100.0%,-24.5
North Texas,0-1-0,0.0%,100.0%,-25.0
California,0-1-0,0.0%,100.0%,-3.0
South Dakota,0-1-0,0.0%,100.0%,-1.5
LSU,0-1-0,0.0%,100.0%,-7.5
UCSB,0-1-0,0.0%,100.0%,-2.5
Central Conn,0-2-0,0.0%,100.0%,-13.5
Portland,0-1-0,0.0%,100.0%,-2.5
Murray St,0-0-1,0.0%,0.0%,0.0
N Alabama,0-1-0,0.0%,100.0%,-10.5
Memphis,0-1-0,0.0%,100.0%,-3.5
Vermont,0-3-0,0.0%,100.0%,-10.0
Manhattan,0-1-0,0.0%,100.0%,-3.5
Morgan St,0-1-0,0.0%,100.0%,-1.5
Howard,0-2-0,0.0%,100.0%,-12.8
Arkansas St,0-1-0,0.0%,100.0%,-4.5
Morehead St,0-3-0,0.0%,100.0%,-6.8
SIU Edward,0-3-0,0.0%,100.0%,-7.3
AR Lit Rock,0-2-0,0.0%,100.0%,-12.0
U Mass,0-1-0,0.0%,100.0%,-8.5
N Illinois,0-1-0,0.0%,100.0%,-1.5
IPFW,0-1-0,0.0%,100.0%,-7.5
Maryland BC,0-1-0,0.0%,100.0%,-9.5
Washington,0-1-0,0.0%,100.0%,-38.5
Drexel,0-1-0,0.0%,100.0%,-13.5
Kent St,0-2-0,0.0%,100.0%,-10.8
NC Central,0-2-0,0.0%,100.0%,-13.5
Youngs St,0-2-0,0.0%,100.0%,-16.3
Denver,0-2-0,0.0%,100.0%,-7.3
Hsn Christian,0-1-1,0.0%,100.0%,-16.0
Liberty,0-1-0,0.0%,100.0%,-9.5
Furman,0-1-0,0.0%,100.0%,-10.0
Utah Tech,0-1-0,0.0%,100.0%,-6.0
Winthrop,0-1-0,0.0%,100.0%,-43.5
Pacific,0-1-0,0.0%,100.0%,-0.5
Missouri St,0-1-0,0.0%,100.0%,-3.5
Texas A&M,0-1-0,0.0%,100.0%,-19.0
Middle Tenn,0-1-0,0.0%,100.0%,-11.5
Ste F Austin,0-1-0,0.0%,100.0%,-22.5
Troy,0-2-0,0.0%,100.0%,-25.5
Bowling Grn,0-1-0,0.0%,100.0%,-1.5
Louisiana,0-1-0,0.0%,100.0%,-3.5
Wyoming,0-0-1,0.0%,0.0%,0.0
N Mex State,0-1-0,0.0%,100.0%,-11.5
Colgate,0-2-0,0.0%,100.0%,-10.8
Monmouth,0-2-0,0.0%,100.0%,-4.0
Campbell,0-1-0,0.0%,100.0%,-9.5
Richmond,0-1-0,0.0%,100.0%,-28.5
Wagner,0-2-0,0.0%,100.0%,-18.0
Florida Intl,0-2-0,0.0%,100.0%,-4.3
Bryant,0-1-0,0.0%,100.0%,-12.5
Citadel,0-1-0,0.0%,100.0%,-6.5
Hampton,0-2-0,0.0%,100.0%,-19.0
North Dakota,0-1-0,0.0%,100.0%,-5.0
Loyola-MD,0-1-0,0.0%,100.0%,-20.0
Oakland,0-2-0,0.0%,100.0%,-21.0
Boston U,0-2-0,0.0%,100.0%,-16.8
Merrimack,0-1-0,0.0%,100.0%,-29.0
