Team,Over Record,Over %,Under %,Total +/-
Charl South,1-0-0,100.0%,0.0%,+3.5
Army,2-0-0,100.0%,0.0%,+31.0
Wyoming,1-0-1,100.0%,0.0%,+1.0
Gonzaga,2-0-0,100.0%,0.0%,+6.8
TN State,1-0-0,100.0%,0.0%,+19.5
Fla Atlantic,1-0-0,100.0%,0.0%,+39.0
Lg Beach St,1-0-0,100.0%,0.0%,+13.0
UL Monroe,1-0-0,100.0%,0.0%,+8.0
St Fran (PA),1-0-0,100.0%,0.0%,+2.0
Idaho,1-0-0,100.0%,0.0%,+10.5
Elon,1-0-0,100.0%,0.0%,+9.0
Buffalo,1-0-0,100.0%,0.0%,+15.5
Illinois St,1-0-0,100.0%,0.0%,+13.0
Akron,1-0-0,100.0%,0.0%,+18.5
Toledo,1-0-0,100.0%,0.0%,+0.5
Utah,2-0-0,100.0%,0.0%,+6.3
Harvard,1-0-0,100.0%,0.0%,+28.5
Colorado,1-0-1,100.0%,0.0%,+13.0
Ohio,1-0-0,100.0%,0.0%,+13.0
Fresno St,1-0-0,100.0%,0.0%,+26.5
Yale,1-0-0,100.0%,0.0%,+31.5
Northeastrn,1-0-0,100.0%,0.0%,+8.0
Detroit,1-0-0,100.0%,0.0%,+11.5
TN Martin,1-0-0,100.0%,0.0%,+5.0
Mercer,1-0-0,100.0%,0.0%,+1.5
Siena,2-0-0,100.0%,0.0%,+18.5
Wm & Mary,2-0-0,100.0%,0.0%,+14.8
Norfolk St,2-0-0,100.0%,0.0%,+4.0
Cornell,2-0-0,100.0%,0.0%,+9.8
Richmond,1-0-0,100.0%,0.0%,+9.5
Rhode Island,1-0-0,100.0%,0.0%,+17.5
TX-Arlington,1-0-0,100.0%,0.0%,+20.0
UTSA,1-0-0,100.0%,0.0%,+1.5
Ark Pine Bl,1-0-0,100.0%,0.0%,+21.0
TX Southern,1-0-0,100.0%,0.0%,+8.0
Radford,1-0-0,100.0%,0.0%,+19.0
St Marys,2-0-0,100.0%,0.0%,+20.3
Charlotte,1-0-0,100.0%,0.0%,+31.0
Texas St,1-0-0,100.0%,0.0%,+7.0
Wisconsin,3-0-0,100.0%,0.0%,+15.7
Stetson,1-0-0,100.0%,0.0%,+5.5
Villanova,2-0-0,100.0%,0.0%,+20.5
TX El Paso,1-0-0,100.0%,0.0%,+5.5
Utah St,1-0-0,100.0%,0.0%,+31.0
GA Southern,2-0-0,100.0%,0.0%,+13.5
Navy,1-0-0,100.0%,0.0%,+30.5
Boise St,1-0-0,100.0%,0.0%,+12.0
La Salle,2-0-0,100.0%,0.0%,+11.0
Quinnipiac,1-0-0,100.0%,0.0%,+12.0
Incar Word,1-0-0,100.0%,0.0%,+11.0
IL-Chicago,2-0-0,100.0%,0.0%,+23.3
Niagara,1-0-0,100.0%,0.0%,+12.0
James Mad,1-0-0,100.0%,0.0%,+7.0
Miss Val St,1-0-0,100.0%,0.0%,+11.0
USC,2-0-0,100.0%,0.0%,+23.3
Morgan St,1-0-0,100.0%,0.0%,+4.5
Stony Brook,1-0-0,100.0%,0.0%,+8.0
American,1-0-0,100.0%,0.0%,+7.5
NC-Grnsboro,1-0-0,100.0%,0.0%,+1.0
Kennesaw St,1-0-0,100.0%,0.0%,+14.5
Houston,1-0-0,100.0%,0.0%,+1.5
Manhattan,1-0-0,100.0%,0.0%,+13.0
Missouri,2-0-0,100.0%,0.0%,+10.3
App State,1-0-0,100.0%,0.0%,+5.5
Pepperdine,1-0-0,100.0%,0.0%,+25.5
Bradley,1-0-0,100.0%,0.0%,+10.0
Portland St,1-0-0,100.0%,0.0%,+4.0
Arizona St,2-0-0,100.0%,0.0%,+8.0
Tulsa,2-0-0,100.0%,0.0%,+15.3
Dayton,2-0-0,100.0%,0.0%,+1.3
E Washingtn,1-0-0,100.0%,0.0%,+9.5
SC Upstate,1-0-0,100.0%,0.0%,+17.0
Texas Tech,1-0-1,100.0%,0.0%,+1.3
W Illinois,1-0-0,100.0%,0.0%,+5.0
N Carolina,1-0-0,100.0%,0.0%,+20.5
Oral Roberts,1-0-0,100.0%,0.0%,+9.5
Ball St,1-0-0,100.0%,0.0%,+2.0
Notre Dame,1-0-0,100.0%,0.0%,+15.5
San Diego,1-0-0,100.0%,0.0%,+4.0
Davidson,1-0-0,100.0%,0.0%,+29.5
Georgia St,1-0-0,100.0%,0.0%,+18.0
W Michigan,1-0-0,100.0%,0.0%,+1.0
NW State,1-0-0,100.0%,0.0%,+2.5
S Illinois,1-0-0,100.0%,0.0%,+1.5
TX A&M-CC,1-0-0,100.0%,0.0%,+21.0
Utah Valley,2-0-0,100.0%,0.0%,+4.3
St Bonavent,2-0-0,100.0%,0.0%,+14.0
N Alabama,3-0-0,100.0%,0.0%,+14.2
Texas,1-0-0,100.0%,0.0%,+15.5
Samford,2-0-0,100.0%,0.0%,+18.8
North Dakota,1-0-0,100.0%,0.0%,+3.0
CS Bakersfld,1-0-0,100.0%,0.0%,+27.5
Col Charlestn,2-0-0,100.0%,0.0%,+36.3
Marshall,1-0-0,100.0%,0.0%,+9.5
Maryland ES,1-0-0,100.0%,0.0%,+17.0
Lamar,1-0-0,100.0%,0.0%,+23.0
Dartmouth,2-0-0,100.0%,0.0%,+12.8
S Mississippi,1-0-0,100.0%,0.0%,+28.5
NC-Wilmgton,2-0-0,100.0%,0.0%,+20.0
Sam Hous St,1-0-0,100.0%,0.0%,+21.0
Bryant,1-0-0,100.0%,0.0%,+29.5
IU Indy,2-0-0,100.0%,0.0%,+11.5
Albany,1-0-0,100.0%,0.0%,+10.0
N Dakota St,1-0-0,100.0%,0.0%,+6.0
E Michigan,1-0-0,100.0%,0.0%,+7.5
Mass Lowell,2-0-0,100.0%,0.0%,+10.8
Marist,1-0-0,100.0%,0.0%,+48.0
Baylor,1-0-0,100.0%,0.0%,+21.0
Santa Clara,1-0-0,100.0%,0.0%,+4.5
E Tenn St,1-0-0,100.0%,0.0%,+9.5
Rutgers,2-0-0,100.0%,0.0%,+18.8
N Florida,3-0-0,100.0%,0.0%,+19.8
Howard,1-0-0,100.0%,0.0%,+24.0
Jksnville St,1-0-0,100.0%,0.0%,+7.0
TX-Pan Am,1-0-0,100.0%,0.0%,+3.5
N Arizona,1-0-0,100.0%,0.0%,+8.5
Mt St Marys,1-0-0,100.0%,0.0%,+0.5
Lindenwood,1-0-0,100.0%,0.0%,+8.0
Central Mich,1-0-0,100.0%,0.0%,+7.5
Stonehill,1-0-0,100.0%,0.0%,+7.0
Georgia,2-1-0,66.7%,33.3%,+1.8
S Methodist,2-1-0,66.7%,33.3%,+6.7
Wash State,2-1-0,66.7%,33.3%,-6.0
Maryland,2-1-0,66.7%,33.3%,+0.7
Purdue,2-1-0,66.7%,33.3%,+2.2
Miss State,1-1-0,50.0%,50.0%,+3.5
Wright St,1-1-0,50.0%,50.0%,-2.5
Belmont,1-1-0,50.0%,50.0%,-0.3
TN Tech,1-1-0,50.0%,50.0%,-0.5
St Johns,1-1-0,50.0%,50.0%,-10.0
California,1-1-0,50.0%,50.0%,+0.8
S Car State,1-1-0,50.0%,50.0%,-5.5
Neb Omaha,1-1-0,50.0%,50.0%,-3.3
Nevada,1-1-0,50.0%,50.0%,-15.3
Pacific,1-1-0,50.0%,50.0%,+1.5
Fordham,1-1-0,50.0%,50.0%,+5.8
N Mex State,1-1-0,50.0%,50.0%,+3.3
Wichita St,1-1-0,50.0%,50.0%,+3.0
NC State,1-1-0,50.0%,50.0%,+5.5
Rider,1-1-0,50.0%,50.0%,+5.5
Kansas,1-1-0,50.0%,50.0%,+8.0
Montana,1-1-0,50.0%,50.0%,-8.8
LA Tech,1-1-0,50.0%,50.0%,+9.3
U Penn,1-1-0,50.0%,50.0%,+8.5
Michigan St,1-1-0,50.0%,50.0%,+3.8
Arizona,1-1-0,50.0%,50.0%,+11.5
St Josephs,1-1-0,50.0%,50.0%,+1.0
Lipscomb,1-1-0,50.0%,50.0%,-10.0
Loyola-Chi,1-1-0,50.0%,50.0%,+2.8
E Kentucky,1-1-0,50.0%,50.0%,-3.0
Oklahoma St,1-1-0,50.0%,50.0%,-2.0
BYU,1-1-0,50.0%,50.0%,+4.0
Clemson,1-1-0,50.0%,50.0%,-6.3
GA Tech,1-1-0,50.0%,50.0%,+16.3
UCSB,1-1-0,50.0%,50.0%,+12.0
Virginia,1-1-0,50.0%,50.0%,-6.8
N Colorado,1-1-0,50.0%,50.0%,+10.0
Tennessee,1-1-0,50.0%,50.0%,-8.3
Cal Baptist,1-1-0,50.0%,50.0%,+3.5
Geo Wshgtn,1-1-0,50.0%,50.0%,-1.0
Xavier,1-1-0,50.0%,50.0%,+5.0
Stanford,1-1-0,50.0%,50.0%,-1.0
Hawaii,1-1-0,50.0%,50.0%,+7.8
UCF,1-1-0,50.0%,50.0%,+15.8
Queens,1-1-0,50.0%,50.0%,-18.8
New Mexico,1-1-0,50.0%,50.0%,+2.3
Geo Mason,1-1-0,50.0%,50.0%,-1.8
S Dakota St,1-1-0,50.0%,50.0%,+3.5
Maryland BC,1-1-0,50.0%,50.0%,+1.0
Auburn,1-1-0,50.0%,50.0%,-5.8
Grd Canyon,1-1-0,50.0%,50.0%,+0.3
South Dakota,1-1-0,50.0%,50.0%,+11.5
Vanderbilt,1-1-0,50.0%,50.0%,+1.3
Colorado St,1-1-0,50.0%,50.0%,+3.0
Bucknell,1-1-0,50.0%,50.0%,+7.8
St. Thomas,1-1-0,50.0%,50.0%,+7.3
Hofstra,1-1-0,50.0%,50.0%,-11.5
Kentucky,1-1-0,50.0%,50.0%,+3.5
Northwestern,1-1-0,50.0%,50.0%,-6.5
Texas A&M,1-1-0,50.0%,50.0%,+9.0
Memphis,1-1-0,50.0%,50.0%,-0.5
San Francisco,1-1-0,50.0%,50.0%,+2.8
LIU,1-1-0,50.0%,50.0%,-3.5
Duke,1-1-0,50.0%,50.0%,+1.8
Princeton,1-2-0,33.3%,66.7%,-0.5
Marquette,1-2-0,33.3%,66.7%,-5.7
Wake Forest,1-2-0,33.3%,66.7%,-4.0
Temple,1-2-0,33.3%,66.7%,+4.5
TX Christian,1-2-0,33.3%,66.7%,-12.3
Florida,1-2-0,33.3%,66.7%,-4.2
Florida St,1-2-0,33.3%,66.7%,-11.2
Alabama,1-2-0,33.3%,66.7%,-12.0
VA Tech,1-2-0,33.3%,66.7%,-9.0
Furman,1-2-0,33.3%,66.7%,-5.5
Columbia,1-2-0,33.3%,66.7%,+2.5
Penn St,1-2-0,33.3%,66.7%,-2.7
Iowa,1-2-0,33.3%,66.7%,-9.2
DePaul,1-2-0,33.3%,66.7%,-0.7
Louisville,0-1-0,0.0%,100.0%,-24.5
Tulane,0-3-0,0.0%,100.0%,-13.0
UC Irvine,0-2-0,0.0%,100.0%,-17.0
N Iowa,0-2-0,0.0%,100.0%,-1.0
Youngs St,0-1-0,0.0%,100.0%,-21.5
