Team,Over Record,Over %,Under %,Total +/-
Wisconsin,1-0-0,100.0%,0.0%,+40.0
Canisius,2-0-0,100.0%,0.0%,+13.0
CS Bakersfld,1-0-0,100.0%,0.0%,+21.5
Charl South,3-0-0,100.0%,0.0%,+7.7
Detroit,1-0-0,100.0%,0.0%,+11.5
WI-Grn Bay,3-0-0,100.0%,0.0%,+15.7
St Josephs,1-0-0,100.0%,0.0%,+18.0
Purdue,1-0-0,100.0%,0.0%,+0.5
Niagara,2-0-0,100.0%,0.0%,+13.8
Miami (OH),1-0-0,100.0%,0.0%,+1.5
Southern,2-0-0,100.0%,0.0%,+15.5
Holy Cross,3-0-0,100.0%,0.0%,+9.5
Portland St,1-0-0,100.0%,0.0%,+38.5
Pepperdine,1-0-0,100.0%,0.0%,+25.5
Siena,3-0-0,100.0%,0.0%,+13.2
Marist,2-0-0,100.0%,0.0%,+11.0
LA Tech,1-0-0,100.0%,0.0%,+20.0
Quinnipiac,2-0-0,100.0%,0.0%,+9.3
Indiana St,1-0-0,100.0%,0.0%,+9.5
U Penn,1-0-0,100.0%,0.0%,+6.5
Mt St Marys,2-0-0,100.0%,0.0%,+18.8
N Florida,3-0-0,100.0%,0.0%,+19.0
TX-Arlington,1-0-0,100.0%,0.0%,+39.0
Rob Morris,2-0-0,100.0%,0.0%,+6.3
Florida St,1-0-0,100.0%,0.0%,+3.0
NC-Grnsboro,1-0-0,100.0%,0.0%,+1.0
App State,1-0-0,100.0%,0.0%,+5.5
UTSA,1-0-0,100.0%,0.0%,+1.5
Fla Atlantic,2-0-0,100.0%,0.0%,+55.0
Jksnville St,1-0-0,100.0%,0.0%,+7.0
San Francisco,1-0-0,100.0%,0.0%,+12.0
Illinois St,2-0-0,100.0%,0.0%,+9.5
San Diego,1-0-0,100.0%,0.0%,+4.0
TX A&M-CC,3-0-0,100.0%,0.0%,+18.8
Air Force,1-0-0,100.0%,0.0%,+9.5
Saint Louis,1-0-0,100.0%,0.0%,+5.5
Columbia,1-0-0,100.0%,0.0%,+23.0
Bradley,1-0-0,100.0%,0.0%,+10.0
Auburn,1-0-0,100.0%,0.0%,+1.5
N Carolina,1-0-0,100.0%,0.0%,+20.5
S Florida,2-0-0,100.0%,0.0%,+15.0
San Jose St,1-0-0,100.0%,0.0%,+16.0
Akron,2-0-0,100.0%,0.0%,+12.5
Mass Lowell,1-0-0,100.0%,0.0%,+2.0
Elon,2-0-0,100.0%,0.0%,+10.8
Valparaiso,1-0-0,100.0%,0.0%,+7.5
TN State,3-0-0,100.0%,0.0%,+15.2
Baylor,1-0-0,100.0%,0.0%,+6.5
Radford,2-0-0,100.0%,0.0%,+15.3
Missouri,1-0-0,100.0%,0.0%,+3.5
Texas St,1-0-0,100.0%,0.0%,+7.0
Loyola-MD,1-0-0,100.0%,0.0%,+14.5
S Illinois,2-0-0,100.0%,0.0%,+12.8
S Dakota St,1-0-0,100.0%,0.0%,+8.5
UC Davis,1-0-0,100.0%,0.0%,+4.0
IU Indy,1-0-0,100.0%,0.0%,+15.5
Stony Brook,3-0-0,100.0%,0.0%,+10.5
Incar Word,1-0-0,100.0%,0.0%,+17.0
Mercer,1-0-0,100.0%,0.0%,+1.5
Virginia,1-0-0,100.0%,0.0%,+2.0
TN Tech,1-0-0,100.0%,0.0%,+20.0
Norfolk St,2-0-0,100.0%,0.0%,+4.0
Fresno St,1-0-0,100.0%,0.0%,+26.5
Sam Hous St,2-0-0,100.0%,0.0%,+21.5
Northeastrn,2-0-0,100.0%,0.0%,+11.3
Northwestern,1-0-0,100.0%,0.0%,+0.5
S Mississippi,1-0-0,100.0%,0.0%,+28.5
Kennesaw St,1-0-0,100.0%,0.0%,+14.5
Yale,1-0-0,100.0%,0.0%,+31.5
Lamar,1-0-0,100.0%,0.0%,+23.0
Wm & Mary,1-0-0,100.0%,0.0%,+11.5
Bucknell,2-0-0,100.0%,0.0%,+17.0
Charlotte,1-0-0,100.0%,0.0%,+31.0
Montana St,2-0-0,100.0%,0.0%,+4.0
TX-Pan Am,2-0-0,100.0%,0.0%,+17.3
Belmont,1-0-0,100.0%,0.0%,+4.0
Arizona St,3-0-0,100.0%,0.0%,+10.3
Idaho,2-0-0,100.0%,0.0%,+5.5
GA Southern,1-0-0,100.0%,0.0%,+23.5
Cornell,2-0-0,100.0%,0.0%,+9.8
SC Upstate,4-0-0,100.0%,0.0%,+15.3
SE Missouri,2-0-0,100.0%,0.0%,+6.3
Bellarmine,1-0-0,100.0%,0.0%,+7.5
Toledo,1-0-0,100.0%,0.0%,+3.5
TX El Paso,1-0-0,100.0%,0.0%,+5.5
N Dakota St,2-0-0,100.0%,0.0%,+21.3
Army,2-0-0,100.0%,0.0%,+31.0
Ohio,2-0-0,100.0%,0.0%,+9.8
Marshall,1-0-0,100.0%,0.0%,+9.5
IL-Chicago,2-0-0,100.0%,0.0%,+23.3
Marquette,1-0-0,100.0%,0.0%,+5.0
St Fran (PA),3-1-0,75.0%,25.0%,-0.8
Maryland ES,3-1-0,75.0%,25.0%,+15.5
