Team,ATS Record,Cover %,MOV,ATS +/-
NC A&T,1-0-0,100.0%,-16.0,+10.5
Neb Omaha,2-0-0,100.0%,-4.0,+6.5
Drake,2-0-0,100.0%,13.5,+13.0
Davidson,1-0-0,100.0%,6.0,+0.5
Austin Peay,1-0-0,100.0%,2.0,+19.5
Hofstra,2-0-0,100.0%,9.0,+9.8
Col Charlestn,3-0-0,100.0%,13.3,+6.3
Vermont,1-0-0,100.0%,5.0,+10.0
Hawaii,2-0-0,100.0%,10.5,+6.5
Cal Poly,2-0-0,100.0%,-6.0,+12.5
Cincinnati,1-0-0,100.0%,55.0,+18.5
N Florida,3-0-0,100.0%,4.7,+13.5
Michigan St,2-0-0,100.0%,30.0,+5.0
Utah Valley,1-0-0,100.0%,29.0,+28.0
Wichita St,1-0-0,100.0%,7.0,+6.0
Grambling St,1-0-0,100.0%,-2.0,+22.0
N Mex State,1-0-0,100.0%,12.0,+8.5
Incar Word,2-0-0,100.0%,11.5,+10.0
UC Irvine,1-0-0,100.0%,15.0,+14.0
Detroit,3-0-0,100.0%,-1.7,+9.7
Furman,2-0-0,100.0%,5.0,+3.8
Illinois,1-0-0,100.0%,45.0,+20.5
BYU,1-0-0,100.0%,38.0,+4.0
Florida St,2-0-0,100.0%,16.0,+3.8
Kentucky,1-0-0,100.0%,41.0,+19.5
Portland St,1-0-0,100.0%,-8.0,+6.5
NC-Grnsboro,2-0-0,100.0%,-1.0,+5.0
Loyola-MD,1-0-0,100.0%,-3.0,+3.5
Marquette,4-0-0,100.0%,20.3,+10.4
Oregon St,2-0-0,100.0%,25.5,+18.3
Norfolk St,2-0-0,100.0%,-4.5,+2.5
Drexel,2-0-0,100.0%,-0.5,+5.3
Gonzaga,1-0-0,100.0%,38.0,+31.5
Lipscomb,1-0-1,100.0%,0.0,+4.5
Navy,2-0-0,100.0%,-1.0,+6.0
UC Riverside,1-0-0,100.0%,-15.0,+1.5
Stanford,4-0-0,100.0%,22.5,+6.4
Georgetown,1-0-0,100.0%,28.0,+13.5
E Kentucky,2-0-0,100.0%,-4.5,+12.5
N Iowa,1-0-0,100.0%,19.0,+12.5
Boise St,1-0-0,100.0%,13.0,+9.5
Queens,1-0-0,100.0%,13.0,+8.5
Jacksonville,2-0-0,100.0%,-6.0,+3.0
TX A&M-Com,3-0-0,100.0%,-21.7,+4.3
California,1-0-1,100.0%,9.0,+6.0
IPFW,1-0-0,100.0%,-7.0,+4.5
Buffalo,1-0-0,100.0%,1.0,+11.5
Bucknell,3-0-0,100.0%,7.3,+8.7
UCSD,4-0-0,100.0%,6.0,+7.5
Akron,1-0-0,100.0%,-5.0,+0.5
Idaho St,1-0-0,100.0%,-7.0,+11.0
Michigan,1-0-0,100.0%,48.0,+26.5
N Colorado,1-0-0,100.0%,-2.0,+11.0
Liberty,1-0-0,100.0%,20.0,+9.5
LA Tech,1-0-0,100.0%,15.0,+16.5
Elon,1-0-0,100.0%,-14.0,+14.0
N Alabama,2-0-0,100.0%,17.0,+15.0
Kent St,1-0-0,100.0%,4.0,+2.0
St Peters,2-0-0,100.0%,-5.5,+6.5
Penn St,2-0-0,100.0%,45.5,+24.0
Rutgers,1-0-0,100.0%,23.0,+6.0
Memphis,2-0-0,100.0%,7.0,+6.0
Wisconsin,1-0-0,100.0%,24.0,+0.5
Missouri St,1-0-0,100.0%,-7.0,+10.0
TX-Pan Am,2-0-0,100.0%,2.5,+10.5
Duke,2-0-0,100.0%,38.0,+4.8
VMI,3-0-0,100.0%,5.0,+10.8
Rice,1-0-0,100.0%,7.0,+0.5
Houston,1-0-0,100.0%,57.0,+20.5
Middle Tenn,3-0-0,100.0%,15.7,+13.7
VA Tech,1-0-0,100.0%,23.0,+5.0
Northeastrn,2-0-0,100.0%,15.0,+15.3
North Texas,1-0-0,100.0%,17.0,+3.5
Dayton,2-0-0,100.0%,17.5,+4.0
Wyoming,1-0-0,100.0%,17.0,+6.5
TN State,2-0-0,100.0%,1.0,+8.5
Arkansas,1-0-0,100.0%,16.0,+3.0
Siena,3-0-0,100.0%,-7.3,+6.2
Kennesaw St,2-0-0,100.0%,12.0,+7.5
Lg Beach St,1-0-0,100.0%,-1.0,+8.5
Gard-Webb,3-0-0,100.0%,-9.7,+6.7
Miss Val St,1-0-0,100.0%,-39.0,+5.5
Utah,2-0-0,100.0%,18.0,+10.0
Mercyhurst,3-0-0,100.0%,-0.7,+8.8
NC-Wilmgton,1-0-0,100.0%,8.0,+2.5
Chicago St,1-0-0,100.0%,-7.0,+14.5
IU Indy,1-0-0,100.0%,-14.0,+16.5
NC State,1-0-0,100.0%,31.0,+7.5
St. Thomas,1-0-0,100.0%,14.0,+10.5
St Bonavent,3-0-0,100.0%,14.0,+3.0
Central Conn,2-0-0,100.0%,1.0,+19.0
Hsn Christian,1-0-0,100.0%,-31.0,+2.5
Yale,4-1-0,80.0%,5.0,+4.2
Colorado,3-1-0,75.0%,18.5,+3.6
St Johns,3-1-0,75.0%,19.3,+6.0
Vanderbilt,3-1-0,75.0%,16.5,+1.4
Rob Morris,3-1-0,75.0%,-1.8,+0.5
Nevada,3-1-0,75.0%,10.8,+5.3
Presbyterian,3-1-0,75.0%,0.3,+7.9
Maryland ES,3-1-0,75.0%,-15.5,+4.6
S Alabama,2-1-0,66.7%,-2.7,+3.2
Jksnville St,2-1-0,66.7%,3.3,+4.5
Citadel,2-1-0,66.7%,-0.7,+7.8
Pittsburgh,2-1-0,66.7%,24.7,+6.7
Central Mich,2-1-0,66.7%,1.3,+6.2
New Mexico,2-1-0,66.7%,11.3,+1.7
W Virginia,2-1-0,66.7%,25.7,+12.3
Tennessee,2-1-0,66.7%,17.7,+7.8
UCLA,2-1-0,66.7%,19.3,+1.7
AR Lit Rock,2-1-0,66.7%,5.3,+16.5
Sacred Hrt,2-1-0,66.7%,-4.3,+3.3
Maryland,2-1-0,66.7%,20.0,+2.5
American,2-1-0,66.7%,-5.3,+2.2
IL-Chicago,2-1-0,66.7%,2.3,+6.0
Towson,2-1-0,66.7%,-9.7,-4.3
Connecticut,2-1-0,66.7%,38.3,+1.2
Lafayette,2-1-0,66.7%,-14.3,-2.2
U Mass,2-1-0,66.7%,6.3,+1.8
Arkansas St,2-1-0,66.7%,2.0,+5.5
Fla Gulf Cst,2-1-0,66.7%,-1.7,+3.8
Syracuse,2-1-0,66.7%,-1.7,-1.7
UCF,2-1-0,66.7%,5.3,+2.2
Miss State,2-1-0,66.7%,25.0,+6.0
Texas St,3-2-0,60.0%,-1.6,+2.7
Toledo,3-2-0,60.0%,7.2,+3.4
W Illinois,1-1-0,50.0%,3.0,+4.5
Bellarmine,1-1-0,50.0%,-12.0,-6.5
W Kentucky,1-1-1,50.0%,-1.3,+1.5
TN Martin,1-1-0,50.0%,-8.0,+3.0
NC Central,2-2-0,50.0%,-5.8,+1.4
Army,1-1-0,50.0%,-17.0,-0.8
Wagner,2-2-0,50.0%,-17.0,-1.4
Cornell,1-1-0,50.0%,6.0,+2.0
S Dakota St,1-1-0,50.0%,4.0,+4.5
Holy Cross,2-2-0,50.0%,-7.0,+4.6
Columbia,1-1-0,50.0%,6.5,+11.8
Cal St Nrdge,1-1-0,50.0%,4.0,+6.8
Chattanooga,1-1-0,50.0%,-19.0,-3.3
St Fran (PA),1-1-0,50.0%,-28.0,-2.0
E Michigan,1-1-0,50.0%,-8.0,-0.3
Central Ark,1-1-0,50.0%,-20.0,+0.8
Fairfield,1-1-0,50.0%,-16.0,-11.0
WI-Grn Bay,2-2-0,50.0%,-4.8,-0.6
Miami (OH),1-1-0,50.0%,16.0,+10.3
Radford,1-1-0,50.0%,-14.0,-1.8
Air Force,1-1-0,50.0%,-5.0,-8.3
Rider,1-1-0,50.0%,-12.0,-5.0
NC-Asheville,1-1-0,50.0%,-31.0,-12.5
UAB,1-1-0,50.0%,4.5,-4.8
James Mad,2-2-0,50.0%,4.5,+2.9
Troy,1-1-0,50.0%,-3.0,+0.5
Illinois St,1-1-0,50.0%,3.5,-1.3
Santa Clara,1-1-0,50.0%,-9.5,-6.8
Louisville,1-1-0,50.0%,13.0,+0.8
Southern,1-1-0,50.0%,-14.5,0.0
Geo Wshgtn,1-1-0,50.0%,22.5,+6.5
Indiana,1-1-0,50.0%,23.0,+0.8
SE Missouri,1-1-0,50.0%,-18.5,+4.8
Kansas,1-1-0,50.0%,16.5,-1.3
Florida,1-1-0,50.0%,18.0,+0.3
Texas Tech,1-1-0,50.0%,19.0,-3.0
N Carolina,1-1-0,50.0%,5.5,-4.5
DePaul,2-2-0,50.0%,18.8,+3.9
Temple,1-1-0,50.0%,20.0,+9.8
Denver,1-1-0,50.0%,-16.0,+3.3
Albany,1-1-0,50.0%,3.0,+5.8
Ohio St,1-1-0,50.0%,-3.0,+0.5
TX Southern,1-1-0,50.0%,-14.0,+7.3
Texas A&M,1-1-0,50.0%,5.5,-0.5
Providence,1-1-0,50.0%,17.0,-4.5
Charlotte,1-1-0,50.0%,13.0,+6.3
Florida A&M,1-1-0,50.0%,-37.5,-8.0
Manhattan,1-1-0,50.0%,-14.0,+3.0
Northwestern,1-1-0,50.0%,19.5,+14.0
Wash State,1-1-0,50.0%,12.5,+4.5
Miami,1-1-0,50.0%,17.5,+1.8
Rhode Island,1-1-0,50.0%,26.0,+10.0
GA Tech,1-1-0,50.0%,5.5,-1.8
Howard,1-1-0,50.0%,-22.5,+0.8
N Illinois,1-1-0,50.0%,-15.5,-1.5
South Dakota,1-1-0,50.0%,11.0,+4.5
Cleveland St,1-1-0,50.0%,-29.5,-12.0
Georgia St,1-1-0,50.0%,-15.0,-4.5
Binghamton,1-1-0,50.0%,-24.0,-10.0
Montana,1-1-0,50.0%,-21.5,-4.5
UC Davis,1-1-0,50.0%,-10.0,+4.3
Pacific,1-1-0,50.0%,1.5,+4.0
Coastal Car,1-1-1,50.0%,-6.0,-2.5
Morgan St,1-1-0,50.0%,3.5,-3.5
Arizona,1-1-0,50.0%,43.5,+9.8
GA Southern,2-2-0,50.0%,-1.5,-1.9
Mercer,1-1-0,50.0%,-21.5,-7.8
S Mississippi,1-1-0,50.0%,-2.5,+2.0
TX A&M-CC,1-1-0,50.0%,-18.0,+2.5
CS Bakersfld,1-1-1,50.0%,-9.3,-3.7
Oregon,1-1-0,50.0%,23.0,+5.8
Oklahoma St,1-1-0,50.0%,9.5,+2.8
S Indiana,1-1-0,50.0%,-4.0,+5.0
Oklahoma,1-1-0,50.0%,27.0,0.0
NJIT,1-1-0,50.0%,-6.5,+0.8
S Carolina,2-2-0,50.0%,14.3,-1.8
Nicholls,1-1-0,50.0%,-6.5,-0.5
Stonehill,1-1-0,50.0%,12.5,+13.3
Bradley,2-3-0,40.0%,8.8,-1.3
St Josephs,2-3-0,40.0%,3.2,-2.6
Seton Hall,2-3-0,40.0%,3.2,-2.1
Stetson,2-3-0,40.0%,-15.6,-5.3
La Salle,2-3-0,40.0%,3.8,-0.2
Purdue,2-3-0,40.0%,7.6,-2.5
Canisius,1-2-0,33.3%,-16.0,-2.7
Evansville,1-2-0,33.3%,-5.7,+2.8
Loyola-Chi,1-2-0,33.3%,11.3,-3.2
Butler,1-2-0,33.3%,5.3,-5.7
Fla Atlantic,1-2-0,33.3%,5.0,+3.2
TX Christian,1-2-0,33.3%,22.3,+2.3
Sam Hous St,1-2-0,33.3%,-8.0,-1.0
Ohio,1-2-0,33.3%,2.7,-2.0
Hampton,1-2-0,33.3%,-9.0,-1.0
Brown,1-2-0,33.3%,3.3,-3.0
Georgia,1-2-0,33.3%,8.7,-5.5
E Illinois,1-2-0,33.3%,-29.7,-6.3
Stony Brook,1-2-0,33.3%,-20.3,-7.8
Minnesota,1-2-0,33.3%,12.3,+1.2
Iona,1-2-0,33.3%,-19.3,-9.5
Wright St,1-2-0,33.3%,-17.7,-6.2
Winthrop,1-2-0,33.3%,5.0,-3.3
Geo Mason,1-2-0,33.3%,-1.0,-6.5
Maryland BC,1-2-0,33.3%,-11.3,-10.3
TN Tech,1-2-0,33.3%,-9.7,-0.2
New Orleans,1-2-0,33.3%,-20.3,-8.3
USC,1-2-0,33.3%,11.7,-1.3
Alabama,1-2-0,33.3%,18.7,-0.3
S Methodist,1-2-0,33.3%,17.3,+1.2
Lindenwood,1-2-0,33.3%,-15.3,-3.2
Abl Christian,1-2-0,33.3%,-5.7,-6.2
Wm & Mary,1-2-0,33.3%,0.3,-1.7
Mississippi,1-2-1,33.3%,14.3,-5.0
CS Fullerton,1-2-0,33.3%,-22.3,-5.7
Coppin St,1-2-0,33.3%,-17.0,+1.8
Fordham,1-3-0,25.0%,-8.8,-5.1
S Florida,1-3-0,25.0%,-4.5,-5.4
San Jose St,1-3-0,25.0%,-10.5,-8.1
Clemson,1-3-0,25.0%,13.3,-4.3
Villanova,1-3-0,25.0%,9.8,-4.0
VCU,1-3-0,25.0%,9.5,0.0
Baylor,1-3-0,25.0%,-3.8,-5.6
Harvard,1-3-0,25.0%,-9.0,-5.1
Texas,1-3-0,25.0%,9.0,-4.3
Princeton,1-3-0,25.0%,0.0,-6.5
Colorado St,1-3-0,25.0%,7.0,-7.1
Le Moyne,1-3-0,25.0%,-21.5,-1.6
N Hampshire,1-4-0,20.0%,-18.6,-6.7
Wake Forest,0-2-0,0.0%,15.5,-15.0
